slide_path,output_dir,status,elapsed_seconds,log_path
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,3]_[14626,57779].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,3]_[14626,57779]",success,21.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,3]_[14626,57779]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,25,6]_[13700,58239].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,6]_[13700,58239]",success,27.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,6]_[13700,58239]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,25,4]_[15456,58412].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,4]_[15456,58412]",success,29.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,4]_[15456,58412]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,4]_[13736,57755].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,4]_[13736,57755]",success,29.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,4]_[13736,57755]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,6]_[12004,57631].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,6]_[12004,57631]",success,29.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,6]_[12004,57631]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,5]_[12870,57656].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,5]_[12870,57656]",success,28.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,5]_[12870,57656]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,7]_[11164,57606].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,7]_[11164,57606]",success,27.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,7]_[11164,57606]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,3,6]_[13927,39660].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,3,6]_[13927,39660]",success,24.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,3,6]_[13927,39660]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,9]_[9383,57260].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,9]_[9383,57260]",success,24.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,9]_[9383,57260]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,8]_[10249,57433].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,8]_[10249,57433]",success,25.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,8]_[10249,57433]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,4,6]_[14026,40550].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,4,6]_[14026,40550]",success,25.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,4,6]_[14026,40550]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,25,9]_[11153,57843].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,9]_[11153,57843]",success,25.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,9]_[11153,57843]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,5,1]_[18353,41267].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,5,1]_[18353,41267]",success,26.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,5,1]_[18353,41267]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,5,11]_[9673,41564].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,5,11]_[9673,41564]",success,21.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,5,11]_[9673,41564]/batch_run.log"
